id_comment,comment,author,like_count,time,video_id
UgwKOUwkackHqtLfbPR4AaABAg,"Seperti langit dan bumi, kerja pak Purbaya dan bu Sri mulyani. Senang lihat kerja Bpk. Sehat, semangat ya pak.",@bettyutami9973,17,2025-10-13,585-A9uh6Qc
Ugx_jFD82BwGojRWq4F4AaABAg,"Semoga Purbaya selamat, ngak dikerjain sama oligarki & para mafia di sektor energy, pangan dan keuangan yg merasa kepentingannya terganggu.",@IndoHog-fe2vd,79,2025-10-12,585-A9uh6Qc
Ugwt2EEv2dZFFy9kkql4AaABAg,Ayooo pak pur ttp semangat bangun indonesia 👍,@Emoxn7568,52,2025-10-12,585-A9uh6Qc
UgzXTvqGD_Xumg-3Bvp4AaABAg,semoga usaha kecil dan daya beli meningkat. yaa,@echonur7829,2,2025-10-12,585-A9uh6Qc
Ugw3_I_8s-uKmhp3spF4AaABAg,"Ah mulai besuk mo pinjem ke bank ah ,bye ito ito !!😅",@Herupr2125,3,2025-10-12,585-A9uh6Qc
UgwMXbfJho5KAPtbKM94AaABAg,pas bagian iklan bawaan channel gua mau next. Tapi gua tonton pas tayang perdana jadi gak bisa di next. Bahaya memang saham gorengan itu bang apalagi judi. Tapi sekarang penggoreng saham ini bakal dikejar sama menkeu.,@AanArdiansyah-e9q,7,2025-10-12,585-A9uh6Qc
Ugxq0QLnOtIWDIFY1xR4AaABAg,"Sudah lama usaha mandek, semoga dengan mentri yang baru bisa membawa angin segar iklim usaha indonesia",@MrGrey-cm2vf,2,2025-10-14,585-A9uh6Qc
UgxOWO8B0b3Z-QxWHyJ4AaABAg,"Bang Bennix,.. bahas pandangan Prof. Latuhihin thd kebijakan pak Menkeu",@aribabaTriCahyadi,3,2025-10-12,585-A9uh6Qc
Ugy3fK01fdjPGs-ok_R4AaABAg,Bang Bennix menilai dari sisi fundamental perusahaan yaitu keuangan.,@mamanpd5341,1,2025-10-12,585-A9uh6Qc
UgyVIEXAYJ3QNu6MRz54AaABAg,yang jelaspenting banget  kemampuan bayar masyarakat baik/tinggi.  Pastikan pendapatan masyarakat terjamin,@iisolihah9182,0,2025-10-12,585-A9uh6Qc
UgzZzIwUun9lKnZ2iWR4AaABAg,"Setelah kuikutin berita tntg sepak terjang PURBAYA ni, mereka2 yg keberatan atau merasa terusik krn kebijakan Purbaya BERARTI ITU ORG2 YG MERASA TERUSIK KENYAMANANNYA SELAMA BERTAHUN TAHUN INI YY SUDAH TERLALU ENAK DUDUK DIKURSI ZONA NYAMAN. DAN purbaya ni mulai THN 98 sdh ikut terjun lgsg menumbuhkan kebaikan nilai rupiah yg sempat menurun.",@JuanAlhudriAlhudri,4,2025-10-12,585-A9uh6Qc
Ugy9jk2M8gGX5vCrtXd4AaABAg,"Bagus informasinya, semangat dan semoga amanah sesalu untuk Pak Purbaya 👍",@FatimahKhalisaAzzahra,0,2025-10-13,585-A9uh6Qc
Ugw5oaFbYAyovGePjH54AaABAg,"Ya ini akan mendorong bank"" akan lebih mudah dalam menciptakan produk"" bank yang lebih menarik bagi masyarakat dan investor...",@fahrizaltaufiqqurrachman7536,0,2025-10-12,585-A9uh6Qc
UgzKkoNBEX6sdhUJoLp4AaABAg,Ayo rakyat cerdas harus mengonyrol pemaik penggunaan uang kenapa negara kaya rakyatnya mismin pemainya banysk rekayasa yg serong ngeri ngeri  rskyat jadi korban,@jokoDS,1,2025-10-19,585-A9uh6Qc
Ugx5TquWJSIFkaQyFXh4AaABAg,udah 50k like pak bennix,@we_r_nana119,0,2025-10-12,585-A9uh6Qc
Ugz1yMMELLChwFanVfh4AaABAg,Lesgo pak ben,@20mikaellukasagnusdeianggo53,0,2025-10-12,585-A9uh6Qc
UgwByGVfceBSYCPDVvl4AaABAg,Hati2 dan waspada. Pastikan dana dapat memberi manfaat kpd semua rakyat jelata. Nanti habisnya tidak bersisa kekantung aparat dan pejabat. Jangan mudah diperdaya.😢😢,@Rightway3456,33,2025-10-12,585-A9uh6Qc
UgzXDyNkIQxwjQlS4aZ4AaABAg,"""Lembaga perbankan lebih berbahaya daripada angkatan bersenjata."" ~Thomas Jefferson",@anandananda2277,121,2025-10-12,585-A9uh6Qc
UgyY8iX0PsqTOs72Ryl4AaABAg,Memangnya bank BRI itu masih bisa dipercaya sedangkan bank bri itu sangat tidak bertanggung saat nasabahnya kena retas malah nasabahnya yang disalahkan gimana sih bank negara untuk rakyat tapi malah merugikan yang ada sama membuang uang ke bank. Nasabahnya kehilangan uangnya karna menabung uang dibank Bri,@LindraLinzya,31,2025-10-12,585-A9uh6Qc
