original_comment,comment,sentiment
"Seperti langit dan bumi, kerja pak Purbaya dan bu Sri mulyani. Senang lihat kerja Bpk. Sehat, semangat ya pak.",langit bumi kerja pak purbaya bu sri mulyani senang lihat kerja bapak sehat semangat nya pak,Positif
"Semoga Purbaya selamat, ngak dikerjain sama oligarki & para mafia di sektor energy, pangan dan keuangan yg merasa kepentingannya terganggu.",moga purbaya selamat tidak dikerjain saling oligarki mafia salur sektor energi pangan uang rasa penting ganggu,Positif
Ayooo pak pur ttp semangat bangun indonesia 👍,ayo pak purbaya tetap semangat bangun indonesia,Positif
semoga usaha kecil dan daya beli meningkat. yaa,moga usaha kecil daya beli tingkat nya,Positif
"Ah mulai besuk mo pinjem ke bank ah ,bye ito ito !!😅",ah mulai besok mau pinjam bank ah bye ito ito,Positif
pas bagian iklan bawaan channel gua mau next. Tapi gua tonton pas tayang perdana jadi gak bisa di next. Bahaya memang saham gorengan itu bang apalagi judi. Tapi sekarang penggoreng saham ini bakal dikejar sama menkeu.,pas bagi iklan bawa channel mau next tonton pas tayang perdana jadi tidak salur next bahaya memang saham goreng bang judi sekarang goreng saham bakal kejar saling menteri uang,Positif
"Sudah lama usaha mandek, semoga dengan mentri yang baru bisa membawa angin segar iklim usaha indonesia",lama usaha mampet moga menteri baru bawa angin segar iklim usaha indonesia,Positif
"Bang Bennix,.. bahas pandangan Prof. Latuhihin thd kebijakan pak Menkeu",bang bennix bahas pandang prof latuhihin bijak pak menteri uang,Netral
Bang Bennix menilai dari sisi fundamental perusahaan yaitu keuangan.,bang bennix nilai sisi fundamental usaha uang,Netral
yang jelaspenting banget  kemampuan bayar masyarakat baik/tinggi.  Pastikan pendapatan masyarakat terjamin,jelas penting banget mampu bayar masyarakat baiktinggi pasti dapat masyarakat jamin,Netral
"Setelah kuikutin berita tntg sepak terjang PURBAYA ni, mereka2 yg keberatan atau merasa terusik krn kebijakan Purbaya BERARTI ITU ORG2 YG MERASA TERUSIK KENYAMANANNYA SELAMA BERTAHUN TAHUN INI YY SUDAH TERLALU ENAK DUDUK DIKURSI ZONA NYAMAN. DAN purbaya ni mulai THN 98 sdh ikut terjun lgsg menumbuhkan kebaikan nilai rupiah yg sempat menurun.",kuikutin berita sepak terjang purbaya berat rasa usik bijak purbaya arti orang rasa usik nyaman lama tahun tahun nya terlalu enak duduk kursi zona nyaman purbaya mulai tahun ikut terjun langsung tumbuh baik nilai rupiah sempat turun,Positif
"Bagus informasinya, semangat dan semoga amanah sesalu untuk Pak Purbaya 👍",bagus informasi semangat moga amanah selalu pak purbaya,Positif
"Ya ini akan mendorong bank"" akan lebih mudah dalam menciptakan produk"" bank yang lebih menarik bagi masyarakat dan investor...",nya dorong bank lebih moga cipta produk bank lebih tarik masyarakat investor,Positif
Ayo rakyat cerdas harus mengonyrol pemaik penggunaan uang kenapa negara kaya rakyatnya mismin pemainya banysk rekayasa yg serong ngeri ngeri  rskyat jadi korban,ayo rakyat cerdas kontrol main guna uang negara rakyat miskin main banyak rekayasa serong ngeri ngeri rakyat jadi korban,Negatif
udah 50k like pak bennix,like pak bennix,Netral
Lesgo pak ben,lesgo pak ben,Netral
Hati2 dan waspada. Pastikan dana dapat memberi manfaat kpd semua rakyat jelata. Nanti habisnya tidak bersisa kekantung aparat dan pejabat. Jangan mudah diperdaya.😢😢,hati waspada pasti dana dapat beri manfaat semua rakyat jelata habis tidak sisa ke kantung aparat jabat jangan moga daya,Negatif
"""Lembaga perbankan lebih berbahaya daripada angkatan bersenjata."" ~Thomas Jefferson",lembaga perban lebih bahaya angkat senjata thomas jefferson,Negatif
Memangnya bank BRI itu masih bisa dipercaya sedangkan bank bri itu sangat tidak bertanggung saat nasabahnya kena retas malah nasabahnya yang disalahkan gimana sih bank negara untuk rakyat tapi malah merugikan yang ada sama membuang uang ke bank. Nasabahnya kehilangan uangnya karna menabung uang dibank Bri,memang bank bri percaya bank bri sangat tidak tanggung nasabah kena retas malah nasabah salah bagaimana sih bank negara rakyat malah rugi saling buang uang bank nasabah hilang uang tabung uang di bank bri,Negatif
asiq bank benik,asiq bank benik,Netral
